Position,Bill,LastName,FirstName,Role,Organization,City,State
Against,SB 258,Sleight,Cynthia,,Self,Austin,TX
Against,SB 258,Stein,Lucy,Direcctor,Progress Texas,Austin,TX
Against,SB 258,Thomas,Sophie,,Self,,
Against,SB 258,Trigilio,Trisha,Attorney,ACLU of Texas,Houston,TX
Against,SB 258,Williams,Amanda,Director,Lilith Fund,Austin,TX
On,SB 258,Allison,Benjamin,,Abolish Abortion Texas,Conroe,TX
On,SB 258,Allison,Leah,,Abolish Abortion Texas,Conroe,TX
On,SB 258,Allison,Lewis,,Self,Conroe,TX
On,SB 258,Apodaca,Amparo,,Self,Burnet,TX
On,SB 258,Apodaca,Marcos,,also providing written testimony)  (Self,Burnet,TX
On,SB 258,Barlow,Chelsea,Director,Family Rights Advocacy,Arlington,TX
On,SB 258,Carter,Kimberly,Physician,"Texas Medical Association, Texas Association of Obstetricians and Gynecologists",Austin,TX
On,SB 258,Eastland,Bill,,Self,Arlington,TX
On,SB 258,Gervais,Johan,,Self,San Marcos,TX
On,SB 258,Hedtke,Amy,,Self,Waxahachie,TX
On,SB 258,King,Read,,Self,Denton,TX
On,SB 258,Madrid,Jennifer,,Self,Belton,TX
On,SB 258,Malone,Rachel,,Self,Manor,TX
On,SB 258,Pierce,Bradley,,Self; Abolish Abortion in Texas,Liberty Hill,TX
On,SB 258,Popko,Diana,,Self,Carmichael,TX
On,SB 258,Prior,Andy,Chairman,Equal Protection for Prosperity,Arlington,TX
On,SB 258,Stanford,Justin,,Self; Abolish Abortion in Texas,Luling,TX
On,SB 258,Thomas,Wesley,,Abolish Abortion Texas,Dayton,TX
On,SB 258,Vanderkaay,John,President,The Center for Mighty Marriages and Families,Conroe,TX
For,SB 258,Booth,Sandra,,Funeral Consumers Alliance of Texas,Austin,TX
For,SB 258,Deotte,Richard,,Self,Southlake,TX
For,SB 258,Deotte,Yvette,,Self,Southlake,TX
For,SB 258,Dickey,James,Chairman,Travis county Republican Party,Austin,TX
For,SB 258,Hudgens,Nicole,Analyst,Texas Values Action,Austin,TX
For,SB 258,James,Barbara,,D. Dukes,Austin,TX
For,SB 258,Palmer,Joe,,Self,Burleson,TX
For,SB 258,Peloquid,Susan,,Self,Austin,TX
For,SB 258,Rackl,Peter,,Self,Austin,TX
For,SB 258,Reyes,Gus,Director,Christian Life Commission,Austin,TX
For,SB 258,Saenz,Gabriela,,Catholic Health Association of Texas,Austin,TX
For,SB 258,Seibert,Denise,Volunteer,Pro-life,Belton,TX
For,SB 258,Thompson,Michele,,Self,Austin,TX
For,SB 258,Walker,Nancy,,Funeral Consumers Alliance of Texas,Austin,TX
Against,SB 258,Alcorta,Natalie,,Self,Austin,TX
Against,SB 258,Alford,Caleb,,Self,Austin,TX
Against,SB 258,Aly,Sharmeen,,Self,Austin,TX
Against,SB 258,Anderson,Kristy,,Self,Austin,TX
Against,SB 258,Anderson,Molly,,Self,Austin,TX
Against,SB 258,Azimi,Ariana,,Self,Austin,TX
Against,SB 258,Bamambote,Massamba Monica,,Self,Katy,TX
Against,SB 258,Baranoff,Eugenie,,Self,Austin,TX
Against,SB 258,Barnwell,Stacy,,Self,San Antonio,TX
Against,SB 258,Barrows,Philisse,,Self; TX Unitarian Universalist Justice Ministry,Schertz,TX
Against,SB 258,Bass,William,,Self,Austin,TX
Against,SB 258,Beall,Jon,,Self,Austin,TX
Against,SB 258,Becker,Ian,,Self,Austin,TX
Against,SB 258,Beisner,Katharine,,Self,Austin,TX
Against,SB 258,Bejarano,Cristina,,Self,Austin,TX
Against,SB 258,Bell,Nancy,,Self,Houston,TX
Against,SB 258,Bench,Amy,,Self,Austin,TX
Against,SB 258,Bennett,Amanda,,Self,Austin,TX
Against,SB 258,Bergen,James,,Self,Houston,TX
Against,SB 258,Bergen,Kay,,Self,Houston,TX
Against,SB 258,Bessent,Nancy,,Self,Austin,TX
Against,SB 258,Bilheimer,Hillary,,Self,Austin,TX
Against,SB 258,Blackwell,Lisa,,Self,Austin,TX
Against,SB 258,,,,Literary Women in Action,Austin,TX
Against,SB 258,Blakey,Carla,,Self; Texas Women,Bastrop,TX
Against,SB 258,Blanton,Dana,,Self; TARAL,Austin,TX
Against,SB 258,Bloom,Michael,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Bogdanich,Stephanie,,Self,Austin,TX
Against,SB 258,Bomba,Beatrice,,Self,Houston,TX
Against,SB 258,Booker,Denee,,Self,Austin,TX
Against,SB 258,Borden,Margaret,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Bostur,Jill,,Self,Austin,TX
Against,SB 258,Boyd,Sarah,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Boze,Mary Eppie,,Self,Austin,TX
Against,SB 258,Briggs,Sydney,,Self,Austin,TX
Against,SB 258,Bronsnick,Hannah,,Self,Austin,TX
Against,SB 258,Brown,Lisa,,Self,Austin,TX
Against,SB 258,Brunken,Carrie,,Self,Austin,TX
Against,SB 258,Bullard,Rebecca,,Self,Austin,TX
Against,SB 258,Burkett,Karen,,Self,Kerrville,TX
Against,SB 258,Burkett,Leslie,,Self,Denton,TX
Against,SB 258,Burkett,Michael,,Self,Kerrville,TX
Against,SB 258,Burleson,John,Democracy,Texas County Resistance,Austin,TX
Against,SB 258,Burr,Elizabeth,,Self,Austin,TX
Against,SB 258,Burr,Matthew,,Self,Austin,TX
Against,SB 258,Butler,Julie,,Self,Austin,TX
Against,SB 258,Byrom,Danna,,Self,Austin,TX
Against,SB 258,Cage,Guy,,Self,Dallas,TX
Against,SB 258,Calabrese,Angela,,Self,Dallas,TX
Against,SB 258,Calderon,Sandra,,Self,Austin,TX
Against,SB 258,Calhoun,Miyah,,Texas Unitarian Universalists Justice Ministry,Manor,TX
Against,SB 258,Callan,Robin,,Self,Austin,TX
Against,SB 258,Cappa,Carol,,North Texas Unitarian Universalist Church,Fort Worth,TX
Against,SB 258,Carlson,Rollyn,,Self,Austin,TX
Against,SB 258,Castelli,Christina,,Self,Austin,TX
Against,SB 258,Caviel,Crystal,,Self,Austin,TX
Against,SB 258,Chambers,Courtney,,Self,Austin,TX
Against,SB 258,Chambers,Thea,,Self,Fort Worth,TX
Against,SB 258,Chamblin,Rita,,Self,Lubbock,TX
Against,SB 258,Chennell,Elizabeth,,Self,Austin,TX
Against,SB 258,Christian,Gerald,,Self,Austin,TX
Against,SB 258,Clark,Edie,,Texas Unitarian Universalist Justice Ministry,Red Rock,TX
Against,SB 258,,,,Self,Austin,TX
Against,SB 258,Cloyde,Pamela,,Self,Austin,TX
Against,SB 258,Collins,Carol,,TX Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Cooper,Alecia,,Self,Austin,TX
Against,SB 258,Cooper,Debbie,,Self,Austin,TX
Against,SB 258,Costigan,Molly,,Self,Austin,TX
Against,SB 258,Cowley,Chelsea,,Self,Austin,TX
Against,SB 258,Crotty,Barbara,,Texas Unitarian Universalist Justice Ministry,Bellaire,TX
Against,SB 258,Cummins,Rachel,,Self,Austin,TX
Against,SB 258,Curimbaba,Sally Thorpe,,Self; Texas Unitarian Universalist Justice Ministry,Fulshear,TX
Against,SB 258,Cutler,Diane,,Self,Granbury,TX
Against,SB 258,Darden,Angie,,Self,Southlake,TX
Against,SB 258,Davidson,Crystal,,Self,Austin,TX
Against,SB 258,Davis,Cheryl,,Texas Unitarian Universal Justice Ministry,Cleburne,TX
Against,SB 258,Davis,Dixie,,Self,Austin,TX
Against,SB 258,Davis,Elisabeth,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Davis,Harry,Member,Texas Unitarian Universalist Justice Ministry,Dallas,TX
Against,SB 258,DeFrates,Ana,,Self,Austin,TX
Against,SB 258,Deichler,Ethan,,Self,Austin,TX
Against,SB 258,Delgado,Yolanda,,Self,Austin,TX
Against,SB 258,Denman,Lindsay,,Self,Austin,TX
Against,SB 258,Derrick,Elizabeth,,Self,Austin,TX
Against,SB 258,Desai,Nikita,,Self,Austin,TX
Against,SB 258,Dieringer,Emily,,Self,Austin,TX
Against,SB 258,Drummer,Mary,,Self,Dallas,TX
Against,SB 258,Duesterhoeft,Diane,,Self,San Antonio,TX
Against,SB 258,Dunn,Dacia,,Texas Unitarian Universalist Social Justice,Poth,TX
Against,SB 258,Duvall,Caitlin,,Self,Blanco,TX
Against,SB 258,Edminston-Lange,Rebecca,Minister,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Eni,Awo,,Self,Austin,TX
Against,SB 258,Erickson-Collins,Christel,,Self; Texas Unitarian Universalist Justice Ministry,Katy,TX
Against,SB 258,Erisma,Wendy,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Erkan,Claire,,Self,Austin,TX
Against,SB 258,Esparza,Eva,,Self,Austin,TX
Against,SB 258,Evans,Emily,,Self,Austin,TX
Against,SB 258,Evans,Jay,,Self,Austin,TX
Against,SB 258,Ewing,Alice,,Texas Unitarian Universalist Social Justice Ministry,Red Oak,TX
Against,SB 258,Fahrig,Rachel,,Self,Pflugerville,TX
Against,SB 258,Faulkenberry,Erica,,Self,Austin,TX
Against,SB 258,Fay-Stindt,Zoe,,Self,Austin,TX
Against,SB 258,Fedyszyn,Martine,,Self,Austin,TX
Against,SB 258,Felker-Jones,Laurie,,Self,Austin,TX
Against,SB 258,Ference,Audrey,,Self,Austin,TX
Against,SB 258,Ferguson,Brian,Reverend,Self,Austin,TX
Against,SB 258,Ferrari,Judith,,Self; Texas Unitarian Universalists Justice Ministry,Bulverde,TX
Against,SB 258,Ferrigno,Andrea,President,Whole Woman's Health,Austin,TX
Against,SB 258,Ferris,Gretchen,,Self,Dallas,TX
Against,SB 258,Finn,James,,Texas Unitarian Universalist Justice Ministry,North Richland Hills,TX
Against,SB 258,Fischer,Kristin,,Self,Austin,TX
Against,SB 258,Flores,Lisa,,Self,Austin,TX
Against,SB 258,Forbes,Sarah,,Self,Austin,TX
Against,SB 258,Ford,Monica,,Self,Austin,TX
Against,SB 258,Foster,Esther,,Self,San Antonio,TX
Against,SB 258,Foster,Raquel,,Self,San Antonio,TX
Against,SB 258,Foster,Thomas,,Self,Austin,TX
Against,SB 258,Fountain,Cindy,,TX Unitarian Universalist Justice Ministry,Cleburne,TX
Against,SB 258,Freeman,Chuck,Director,TX UU Justice Ministry,Round Rock,TX
Against,SB 258,Freiter,Edward,,Texas Unitarian Universalist Justice Ministry,Kingwood,TX
Against,SB 258,Freiter,Miriam,,Self,Kingwood,TX
Against,SB 258,French,Valerie,,Self,Austin,TX
Against,SB 258,Freytag,Mary,,TXUUJM,Austin,TX
Against,SB 258,Fudge,Barbara,,Texas Unitarian Universalist Justice Ministry,Waxahachie,TX
Against,SB 258,Funk,Angela,,Texas Unitarian Universalist Justice Ministry,Pflugerville,TX
Against,SB 258,Fusinato,Carolyn,,Self,Irving,TX
Against,SB 258,Garcia-Ditta,Alexa,,Self; Abigail Aiken,Austin,TX
Against,SB 258,Gary,Rollin,,Self,Dallas,TX
Against,SB 258,Gelb,Gabriel,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Genesi,Angela,,Self,Austin,TX
Against,SB 258,Gibson,Tim,,Self; TXUUSM,Dallas,TX
Against,SB 258,Gifford,Fatimah,,Self,Pflugerville,TX
Against,SB 258,Giglio,Erin,Candidate,Self,Austin,TX
Against,SB 258,Gilbreath,Peter,,Travis County,Austin,TX
Against,SB 258,Gladwin,Debra,,Self,Austin,TX
Against,SB 258,Glickman,Anne,,Self,Austin,TX
Against,SB 258,Gonzales,Saul,,Self,Austin,TX
Against,SB 258,Grogan,Ted,,Self,Austin,TX
Against,SB 258,Guillim,Christine,,Self,Austin,TX
Against,SB 258,Hahn,Kiran,,Self,Austin,TX
Against,SB 258,Hall,Leslie,,Self,Austin,TX
Against,SB 258,Hammons,Laurie,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Hammons,William,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Hampshire,Anne Marie,,Self,Austin,TX
Against,SB 258,Hanrathy,Linda,,Self,Fort Worth,TX
Against,SB 258,Hansen,Marie,,Self; North Texas Unitarian Universalist Churches,The Colony,TX
Against,SB 258,Hanson,Beverly,,Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Haque,Nimat,,,,
Against,SB 258,Harris,Bruce,,Self,Dallas,TX
Against,SB 258,Harris,Michael,,Self,Austin,TX
Against,SB 258,Hassan,Sean,,Self,Austin,TX
Against,SB 258,Hatch,Caitlin,,Self,Austin,TX
Against,SB 258,Haywood,Carol,,Self,Austin,TX
Against,SB 258,Hejny,Barton,,Self,Austin,TX
Against,SB 258,Helfrich,Gina,,Self,Austin,TX
Against,SB 258,Hennessy,Margaret,Intern,NARAL Pro-Choice Texas,Austin,TX
Against,SB 258,Henry,Susan,,Self,Austin,TX
Against,SB 258,Hester,Tina,,Self,Austin,TX
Against,SB 258,Hicks,Thomas,,Self,Austin,TX
Against,SB 258,Hildenbrand,Henry,,Texas Unitarian Universalist Justice Ministry,Lucas,TX
Against,SB 258,Hitch,Mary,,Self,New Braunfels,TX
Against,SB 258,Hoagland,John,,Self,Dallas,TX
Against,SB 258,Hoagland,Maridel,,Self,Dallas,TX
Against,SB 258,Hoang,Vi,,Self,Austin,TX
Against,SB 258,Holmes,Melissa,,Self,Austin,TX
Against,SB 258,Holt,Mark,Texan,TX UU Justice Ministry,Houston,TX
Against,SB 258,Houck,Trish,,Self,Dallas,TX
Against,SB 258,Hubbard,Alexandra,,Self,Elgin,TX
Against,SB 258,Huelbig,Carole & Larry,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Ice,Pamela,,Texas Unitarian Universalists Justice Ministry,Dallas,TX
Against,SB 258,Jenkens,Lyssa,,Self,Dallas,TX
Against,SB 258,Jones,Darla,,Self,Pflugerville,TX
Against,SB 258,Jones,Katharyn,,Texas Unitarian Universalist Justice Ministry,Sugar Land,TX
Against,SB 258,Jones,Tracy,,Self,Houston,TX
Against,SB 258,Joseph,Margaret,,First Unitarian Universalist Church of San Antonio,San Antonio,TX
Against,SB 258,Jost,Aimee,,Self,Austin,TX
Against,SB 258,Kachtik,June,,Self,San Antonio,TX
Against,SB 258,Keiser,Autumn,,Self,Austin,TX
Against,SB 258,Kelly,Edna,,TX Unitarian Universalists Justice Ministry,Houston,TX
Against,SB 258,Kennedy,Julia,,Self,Austin,TX
Against,SB 258,Kerker,Juliana,,American Congress of Obstetricians and Gynecologists TX district,Austin,TX
Against,SB 258,Kimple,Sheila,,Self,Kyle,TX
Against,SB 258,King,Carrie,,Self,Austin,TX
Against,SB 258,Kirwin,Mary,,Self,Euless,TX
Against,SB 258,Kitchen,Katherine,,Self,Austin,TX
Against,SB 258,Knight,Carol,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Koch,Mary,,Self,Houston,TX
Against,SB 258,Konz,Braeden,,Self,Denton,TX
Against,SB 258,Kornely,Analiese,,Self,Austin,TX
Against,SB 258,Kostun,Alexis,,Self; Texas Women,Austin,TX
Against,SB 258,Lawrence,Katherine Anne,,Self,Dallas,TX
Against,SB 258,Lazarus,Deborah,,Self,Caldwell,TX
Against,SB 258,Lee,Jennifer,,Self; Women's Healthcare,Austin,TX
Against,SB 258,Lenoir,Gloria Cisneros,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,,,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Limones,Delma Catalina,,Self,Austin,TX
Against,SB 258,Lois-Borzi,Ana,,Self,Austin,TX
Against,SB 258,Lopez,Carisa,Director,Self; Travis County Democratic Party,Austin,TX
Against,SB 258,Loturco,Marcia,,Self; Texas Unitarian Universalist Justice Ministry,Sherman,TX
Against,SB 258,Lowry,Keith,,Self,Austin,TX
Against,SB 258,Lowry,Shannon,,Self,Austin,TX
Against,SB 258,Lucido,Rita,,Self,Houston,TX
Against,SB 258,Lugo,Dalea,,Self,Houston,TX
Against,SB 258,Lunning,Everett,,Self,Austin,TX
Against,SB 258,MacDougal,Vanessa,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Macknight,Lauren,,Self,Austin,TX
Against,SB 258,Maquieira-Zubay,Alicia,,Self,Austin,TX
Against,SB 258,Marques,Rebecca,,Self,Houston,TX
Against,SB 258,Marsh,Deborah,,Self,Austin,TX
Against,SB 258,Marsh,Peter,,Self,Austin,TX
Against,SB 258,Martin,Bob,,Self,Allen,TX
Against,SB 258,Martin,Emily,,Self,Austin,TX
Against,SB 258,Matula,Michelle,,Self,Austin,TX
Against,SB 258,Maxim-Kelley,Anne,,Self,Dripping Springs,TX
Against,SB 258,Maxwell,Faye,,Texas Unitarian Universalist Justice Ministries,Austin,TX
Against,SB 258,May,Ann,,Self,Houston,TX
Against,SB 258,May,David,,Self,Houston,TX
Against,SB 258,McCombs,Jennifer,,Self,Austin,TX
Against,SB 258,McCulloch,Samuel,,First Unitarian Universality Church,Buda,TX
Against,SB 258,McFann,Jen,,Self,Dallas,TX
Against,SB 258,McGuigan,Alison,,Self,Austin,TX
Against,SB 258,McKinley,Gena,,Self,Austin,TX
Against,SB 258,McMahon,Myrtle,,TX Unitarian Universalist for Justice Ministry,Fort Worth,TX
Against,SB 258,McMichael,Kelly,,Self,Carbon,TX
Against,SB 258,Measelle,Barbara,,Texas Unitarian Universalist Justice Ministry,Fort Worth,TX
Against,SB 258,Medford,Jennifer,,Self,Austin,TX
Against,SB 258,Metzgar,Sara,,Self,Austin,TX
Against,SB 258,Mikitka,Laurie,,Self; TXUUJM,Fort Worth,TX
Against,SB 258,Miller,Cynthia,,TXUUIM,Cypress,TX
Against,SB 258,Miller,Grace,,Self,Austin,TX
Against,SB 258,Miller,Katherine   President,President,Texas Freedom Network,Austin,TX
Against,SB 258,Miller,Katherine,,Self,Austin,TX
Against,SB 258,Mills-Barry,Anita,,TX Unitarian Universalist Justice Ministry,Dallas,TX
Against,SB 258,Moers,Christine,,Self,Gonzales,TX
Against,SB 258,Morin,Silke,,Self,Austin,TX
Against,SB 258,Morlock,Carla,,Self,Dallas,TX
Against,SB 258,Morrissey,Marie,,Self,Austin,TX
Against,SB 258,Morton,Peggy,,Self; Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Munoz,Karen,,Texas Unitarian Universalist Justice Ministry,San Marcos,TX
Against,SB 258,Murillo,Blanca,,Self,Austin,TX
Against,SB 258,Nally,Elizabeth,MD,Self,San Antonio,TX
Against,SB 258,Narro,Alison,,Self,Austin,TX
Against,SB 258,Neeley,Karen,,Self,Austin,TX
Against,SB 258,Neufeld,Jessie,Esq.,Self,Austin,TX
Against,SB 258,Ngo,Chau,,Self,Austin,TX
Against,SB 258,North,Jerry,,Self,New Braunfels,TX
Against,SB 258,Norton,Ellen,,Texas UU Justice Ministry,Houston,TX
Against,SB 258,ODonnell,Lisa,Biologist,Self,Austin,TX
Against,SB 258,Olson,Arlis,,Texas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,,,,Self,Austin,TX
Against,SB 258,Orr,Bonnie,,Self,Austin,TX
Against,SB 258,Park,Kristi,,Self,Austin,TX
Against,SB 258,Parsons,Jane,,First Unitarian Universalist Church,Austin,TX
Against,SB 258,Payne,Kathy,,Self,Carrollton,TX
Against,SB 258,Pease,Alexandra,,Self,Austin,TX
Against,SB 258,Peele,Alexandra,,Self,Austin,TX
Against,SB 258,Perkins,Crystal,Director,Texas Democratic Party,Austin,TX
Against,SB 258,Phillips,Holly,,Self,Austin,TX
Against,SB 258,Phillips,Michael,Chair,Texas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Pinchouski,Susan,,Self,Austin,TX
Against,SB 258,Pinson,Margery,,Self,Dallas,TX
Against,SB 258,Pogue,Stephen,,Self; Texas Unitarian Universalist Justice Ministry,Dallas,TX
Against,SB 258,Powell,Ingrid,,Self,Austin,TX
Against,SB 258,Prager,Lori,,Self,Austin,TX
Against,SB 258,Prager,Neal,,Self,Austin,TX
Against,SB 258,Price,Scott,,Texas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Prosnitz,Beth,,Self,Austin,TX
Against,SB 258,Raab,Joan,,Self,San Antonio,TX
Against,SB 258,Rae,Sheila,,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Rambow,Marilyn,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Ramirez,Nelly,,Self,Austin,TX
Against,SB 258,Reed,Rebecca,,Self,Austin,TX
Against,SB 258,Reeder,Lori,,TXUUSM,Houston,TX
Against,SB 258,Reeder,Margaret,,TX Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Reinke-Walter,Jon,,Self,Plano,TX
Against,SB 258,Reinke-Walter,Pam,,Self,Plano,TX
Against,SB 258,Rinehart,Elissa,,Self,Austin,TX
Against,SB 258,Rivef,Michelle,Dr.,"Planned Parenthood, Texas Freedom, UU,350.org",Austin,TX
Against,SB 258,Robbins,Dave,,Concerned Christian Citizens of Central Texas,Holland,TX
Against,SB 258,Robinson,Beverly,,Self,Houston,TX
Against,SB 258,Robles,Adriana,,Self,Austin,TX
Against,SB 258,Rockett,Lisa,,Texas Unitarian Universalist Justice Ministry,Katy,TX
Against,SB 258,Rockett,Troy,,Texas Unitarian Universalist Justice Ministry,Katy,TX
Against,SB 258,Rodriguez,Sylvia,,Self,Austin,TX
Against,SB 258,Rodriguez,Zachary,,Self,Austin,TX
Against,SB 258,Roe,Patsy,,Self,Lewisville,TX
Against,SB 258,Rooke-Ley,Emily,,Self,Austin,TX
Against,SB 258,Rose,Jill,,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Ross,Scott,,Self,Austin,TX
Against,SB 258,Ross,Sheryl,,Self,Katy,TX
Against,SB 258,Russ,Sally,,Self,Houston,TX
Against,SB 258,Rutan,Michelle,,Self,Austin,TX
Against,SB 258,Ryan,Michelle,,Self,Elgin,TX
Against,SB 258,Sacks,Matt,,,,
Against,SB 258,Sand,Valerie,,Self,Austin,TX
Against,SB 258,Sanders,Patricia,,Self,Austin,TX
Against,SB 258,Sanders,Ronald,,Self,Austin,TX
Against,SB 258,Sandwen,Christina,,Self,Austin,TX
Against,SB 258,Santangelo,Alfred,,Self,Austin,TX
Against,SB 258,Santangelo,Marisa,owner,Self,Austin,TX
Against,SB 258,Sauer,Jessica,,Self,Austin,TX
Against,SB 258,Scaglione,Jessica,,Self,Austin,TX
Against,SB 258,Scheckelhoff,Lindsay,,Self,Austin,TX
Against,SB 258,Schleppe,Beatriz,,Self,Austin,TX
Against,SB 258,,,,Self,Houston,TX
Against,SB 258,Schweitzer,Carrie,,Self,Dallas,TX
Against,SB 258,Scott,Daniel,,,,
Against,SB 258,Scott,Elizabeth,,Self,Austin,TX
Against,SB 258,Scott,Katherine,,TX UU Justice Ministry,Houston,TX
Against,SB 258,Scott,Kim,,Self,Georgetown,TX
Against,SB 258,Scott,Lois,,,,
Against,SB 258,Seebert,Denise,,Pro-life,Belton,TX
Against,SB 258,Sellers,Christina,,Self,Fort Worth,TX
Against,SB 258,Seropian,Emily,,Self,Austin,TX
Against,SB 258,Sever,Kathleen,,Self,Austin,TX
Against,SB 258,Sheehan,Flor,,Self,Richardson,TX
Against,SB 258,Sickles,Robin,Dr.,Texas Unitarian Universalist Justice Ministry,Houston,TX
Against,SB 258,Silberman,Rachel,,Self,Austin,TX
Against,SB 258,Simpson,Stisk,,Self,Mansfield,TX
Against,SB 258,Singleton,Mary,Feminist,Self,Bastrop,TX
Against,SB 258,Skrabaez,Mark,Board,Texas Unitarian Universalist Justice Ministry,Georgetown,TX
Against,SB 258,Skwarek,Helen,Rev.,Self,Austin,TX
Against,SB 258,Smith,Chuck,CEO,Equality Texas,Austin,TX
Against,SB 258,Smith,Jennifer,,Human kind,Austin,TX
Against,SB 258,Smith,Kathy,,Texas Unitarian Universalist Justice Ministry,Addison,TX
Against,SB 258,Smith,Maria Elena,,Self,Austin,TX
Against,SB 258,Smith,Patricia,,Self,Lubbock,TX
Against,SB 258,Snejdir,Andrew,,Self,Austin,TX
Against,SB 258,Snyder,Joshua,Minister,Teas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Soetaert,Jacob,,Self,Austin,TX
Against,SB 258,Sohm,Laura,,Self,Richardson,TX
Against,SB 258,Spellman,Becka,,Self,Austin,TX
Against,SB 258,Stachowitz,Annette,,Self,Austin,TX
Against,SB 258,,,,Self,Houston,TX
Against,SB 258,Sterling,Karen,Det.,Self,Cedar Creek,TX
Against,SB 258,Stockwell,Aaron,Minister,Self,Bryan,TX
Against,SB 258,Strandberg,Katherine,,Self,Austin,TX
Against,SB 258,Summerlin,Bunny,,Self,Carrollton,TX
Against,SB 258,Swedroe,Gail,Rabbi,Self,Austin,TX
Against,SB 258,Sweeney,Margaret,,Self,Houston,TX
Against,SB 258,Switzer,Brittany,,Texas Democratic Party,Austin,TX
Against,SB 258,Taylor,Kathleen,,Self,Austin,TX
Against,SB 258,Temple,Lannis,,Self,Austin,TX
Against,SB 258,Thomas,Gwen,,Self,Richardson,TX
Against,SB 258,Thomas,William,,Self,Austin,TX
Against,SB 258,Thomas-Oliver,Hilary,,Self,Austin,TX
Against,SB 258,Thomson,Susan,,Texas UU's for Social Justice,Pflugerville,TX
Against,SB 258,Tolman,Davis,,Self,Missouri City,TX
Against,SB 258,Tolman,Valerie,,Self,Missouri City,TX
Against,SB 258,Trout,Carol,,Self,Houston,TX
Against,SB 258,Trujillo,Lucila,,Self,Austin,TX
Against,SB 258,Tullius,Victoria,,Texas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Tullos,Lauren,,Self,Austin,TX
Against,SB 258,Uddin,Tracey,,Self; Texas Unitarian Universalist Justice Ministry,Plano,TX
Against,SB 258,,,,Self,Fort Worth,TX
Against,SB 258,,,,Self,Austin,TX
Against,SB 258,,,,TX Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Vandermeuleu,Leo,,Texas UU Justice Ministry,Houston,TX
Against,SB 258,VanHouten,Holly,,Self,Houston,TX
Against,SB 258,,,,Self,Austin,TX
Against,SB 258,Verinder,"Jr., R.E.",Plano,,,
Against,SB 258,Vogel,Vickie,,Self,La Grange,TX
Against,SB 258,Wagnon,Gerald,,Self,Anderson,TX
Against,SB 258,Wall,Catharine,,Self,Austin,TX
Against,SB 258,Wallace,Dorthea,,TX Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Walter,Erin,Minister,Texas Unitarian Universalist Justice Ministry,Austin,TX
Against,SB 258,Weatherman,Ben,,Self,Austin,TX
Against,SB 258,Weigez,Alicia,Strategy,Deeds Not Words,Austin,TX
Against,SB 258,Wheat,Sarah,,Self,Austin,TX
Against,SB 258,Wheatley,Kayci,,Self,Austin,TX
Against,SB 258,White,Jennifer,,Self,Austin,TX
Against,SB 258,Wilderness,Cynthia,,Self,Missouri City,TX
Against,SB 258,Wilfong,Elke,,TX Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Winking,Jeff,,Self,College Station,TX
Against,SB 258,Wood,Emily,,Self,Arlington,TX
Against,SB 258,Woodbury,Shari,Rev.,Texas Unitarian Universalist Justice Ministry,Beubrook,TX
Against,SB 258,Wright,Mary,,Texas Unitarian Universalist Justice Ministry,San Antonio,TX
Against,SB 258,Yeamen,John,Rev.,Self,Austin,TX
Against,SB 258,Yoho,Rob,,Self,Austin,TX
Against,SB 258,Yost,Thomas,,Self,San Antonio,TX
Against,SB 258,Young,Sharon,,Self,Houston,TX
Against,SB 258,Zachritz,Jane,,Texas UU Justice Ministry,Houston,TX
